etape,dist,elev
1,-1.5063237250555384,280
1,-1.4958048780488973,280
1,-1.4958048780488973,280
1,-1.4852860310422564,280
1,-1.4747671840356156,280
1,-1.4642483370289747,280
1,-1.4537294900223336,280
1,-1.443210643015693,280
1,-1.443210643015693,280
1,-1.4326917960089554,280
1,-1.4221729490023143,280
1,-1.4116541019956734,280
1,-1.4011352549890324,280
1,-1.3906164079823915,280
1,-1.3800975609757506,280
1,-1.3695787139691096,280
1,-1.3695787139691096,280
1,-1.3590598669624687,280
1,-1.3485410199558276,280
1,-1.3380221729491868,280
1,-1.3275033259425455,280
1,-1.3169844789359049,280
1,-1.3064656319291672,280
1,-1.2959467849225261,280
1,-1.2854279379158855,280
1,-1.2854279379158855,280
1,-1.2749090909092442,280
1,-1.2643902439026034,281
1,-1.2538713968959627,282
1,-1.2433525498893214,282
1,-1.2328337028826808,282
1,-1.22231485587604,283
1,-1.22231485587604,283
1,-1.2117960088693989,283
1,-1.2012771618626614,284
1,-1.1907583148560201,285
1,-1.1802394678493795,285
1,-1.1697206208427386,285
1,-1.1592017738360976,286
1,-1.1486829268294567,287
1,-1.1486829268294567,287
1,-1.1381640798228159,287
1,-1.1276452328161746,287
1,-1.117126385809534,287
1,-1.1066075388028929,287
1,-1.0960886917961552,286
1,-1.0960886917961552,286
1,-1.0855698447895146,286
1,-1.0750509977828733,285
1,-1.0645321507762326,284
1,-1.0540133037695916,283
1,-1.0434944567629505,283
1,-1.0329756097563099,282
1,-1.0329756097563099,282
1,-1.0224567627496688,281
1,-1.0224567627496688,281
1,-1.0119379157430277,281
1,-1.0014190687362903,280
1,-0.9909002217295524,280
1,-0.9803813747229118,280
1,-0.9803813747229118,280
1,-0.9698625277162711,280
1,-0.9593436807096296,280
1,-0.948824833702989,280
1,-0.948824833702989,280
1,-0.9383059866963483,280
1,-0.9383059866963483,280
1,-0.9277871396897073,280
1,-0.9277871396897073,280
1,-0.9172682926830662,280
1,-0.9172682926830662,280
1,-0.9067494456764251,280
1,-0.9067494456764251,280
1,-0.9067494456764251,280
1,-0.8962305986697845,280
1,-0.8857117516631434,280
1,-0.8857117516631434,280
1,-0.8857117516631434,280
1,-0.8751929046564055,280
1,-0.8646740576497649,280
1,-0.8646740576497649,280
1,-0.8541552106431243,280
1,-0.8436363636364832,281
1,-0.8436363636364832,281
1,-0.8331175166298421,281
1,-0.822598669623201,281
1,-0.8120798226165604,281
1,-0.8015609756099193,282
1,-0.8015609756099193,282
1,-0.7910421286032783,281
1,-0.7805232815966376,281
1,-0.7700044345899002,282
1,-0.7594855875832591,281
1,-0.748966740576618,281
1,-0.748966740576618,281
1,-0.7384478935699774,281
1,-0.7279290465633363,281
1,-0.7174101995566957,282
1,-0.7174101995566957,282
1,-0.7068913525500542,281
1,-0.6963725055434136,280
1,-0.6963725055434136,280
1,-0.6858536585367725,280
1,-0.6753348115301314,280
1,-0.6648159645234903,280
1,-0.6542971175168497,280
1,-0.6437782705101123,280
1,-0.6332594235034712,280
1,-0.6227405764968301,280
1,-0.612221729490189,280
1,-0.612221729490189,280
1,-0.6017028824835484,280
1,-0.5911840354769073,280
1,-0.5806651884702663,280
1,-0.5701463414636256,280
1,-0.5596274944568878,280
1,-0.5491086474502471,280
1,-0.538589800443606,280
1,-0.528070953436965,280
1,-0.528070953436965,280
1,-0.5175521064303243,280
1,-0.5070332594236833,280
1,-0.4965144124170422,280
1,-0.48599556541040156,280
1,-0.4754767184037605,280
1,-0.4649578713971194,280
1,-0.454439024390382,280
1,-0.454439024390382,280
1,-0.4439201773837409,280
1,-0.43340133037710027,280
1,-0.42288248337045964,280
1,-0.4123636363638181,280
